Title,Maximum Resolution (EN),Framerate in 4K mode (EN),HDR/SDR (EN),Cross-platform (EN),ID,Chris' Comments Box
The Turing Test,3200x1800,60,SDR,None,cfd2977e1b9f412387ca2f44848400acrcp1,Pixel Count
Thumper,3840x2160,60,SDR,None,c121d8b3fa744b52b71bf3599cb3da7frcp1,Pixel Count | Specs confirmed by devs/pubs
TOHU,,60,SDR,None,df0f55ed73d946b8a70398fea9805e2drcp1,
Tom Clancy's Ghost Recon Breakpoint,3840x2160,30,HDR,None,11c9ece5b3a045908d77cf2b66adb010rcp1,Pixel Count | Specs confirmed by devs/pubs | 60FPS in 1080p mode
Tom Clancy's Ghost Recon Wildlands,3200x1800,30,HDR,None,a1ce1274a83244f1a099bebef7ae1233rcp1,Pixel Count | Performance/Quality toggle | 60FPS in 1080p mode | No HDR settings
The Division 2,3840x2160,60,HDR,PC,d43cd46c81734ca48e1a615310d0237crcp1,Pixel Count | Specs confirmed by devs/pubs
Tomb Raider: Definitive Edition,3456x1944,30,HDR,None,42503ac2cfcf40018c15c86b86a5508drcp1,Pixel Count | Performance/Quality toggle | 60FPS in 1080p mode | No HDR settings
Trials Rising,3840x2160,60,SDR,None,a031419410cc48469ff8954ea0732640rcp1,Pixel Count | Specs confirmed by devs/pubs
Trine 4: The Nightmare Prince,2304x1296,60,SDR,None,30fd580936bb43b782ec2dbdac8b2f45rcp1,Pixel Count
UNO,3840x2160,60,SDR,None,1694aaa3968344228424092f180a3e0ercp1,Pixel Count
Unto The End,3840x2160,60,SDR,None,a089691b36254f77bc66a75052fc7cf6rcp1,Pixel Count
Valkyria Chronicles 4,1920x1080,60,HDR,None,b00e2f20b91e43c8a0597b07fc80ca84rcp1,Pixel Count
Watch_Dogs,3840x2160,30,SDR,None,b7503867ccbc4ac7be7093fe3ba1523crcp1,Pixel Count | Performance/Quality toggle | 60FPS in 1080p mode
